CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits
"16,462",COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(=O)C=C(C)C)C(=O)O[C@@H]3C[C@H]1C(C)=C(O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O,520.53,C26H32O11,CHEMBL459546,ChEMBL,0,
"16,463",Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl,350.02,C13H8Cl4N2O,CHEMBL10835,ChEMBL,1,CHEMBL10835
"16,464",Nc1nc(=S)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,299.31,C10H13N5O4S,CHEMBL283078,ChEMBL,3,"CHEMBL283078,CHEMBL283078,CHEMBL283078"
"16,465",C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,574.72,C30H46N4O7,CHEMBL5190267,ChEMBL,2,"CHEMBL5190267,CHEMBL5190267"
"16,466",CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OCc1cccc(Cl)c1)[C@@H](C)OC(C)(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,595.13,C29H43ClN4O7,CHEMBL5173899,ChEMBL,2,"CHEMBL5173899,CHEMBL5173899"
"16,467",CC(C)(C)C[C@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,530.67,C28H42N4O6,CHEMBL5203715,ChEMBL,1,CHEMBL5203715
"16,468",CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O,477.62,C24H35N3O5S,CHEMBL5426970,ChEMBL,0,
"16,469",CC(C)C[C@H](NC(=O)OCC(C)(O)c1cccc(Cl)c1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(O)(=O)=O,564.05,C23H34ClN3O9S,CHEMBL5421269,ChEMBL,0,
"16,470",C[C@@H](N1CCC(CC1)C(=O)NCc1cccc(NC(=O)N2CCN(C)CC2)c1)c1cccc2ccccc12,513.69,C31H39N5O2,CHEMBL5180567,ChEMBL,0,
"16,471",COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)NN(C[C@@H]1CCNC1=O)C(=O)[C@H](F)Cl,509.96,C23H29ClFN5O5,CHEMBL5198073,ChEMBL,6,"CHEMBL5198073,CHEMBL5198073,CHEMBL5198073,CHEMBL5198073,CHEMBL5198073,CHEMBL5198073"
"16,472",COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,472.54,C24H32N4O6,CHEMBL4777223,ChEMBL,10,"CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223"
"16,473",COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO,472.54,C24H32N4O6,CHEMBL4777223,ChEMBL,10,"CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223,CHEMBL4777223"
