CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits,GroupID
4662,CCN(CC)C(=O)C(=C\\c1cc(O)c(O)c(c1)[N+]([O-])=O)\\C#N,305.29,C14H15N3O5,NCGC00164555-03,NCATS,3,"NCGC00164555-10,NCGC00164555-10,NCGC00164555-03",14
10815,CCN(CC)C(=O)C(=C\\c1cc(O)c(O)c(c1)[N+]([O-])=O)\\C#N,305.29,C14H15N3O5,NCGC00164555-03,NCATS,3,"NCGC00164555-10,NCGC00164555-10,NCGC00164555-03",14
20,CCN(CC)C(=O)C(=C\\C1=CC(O)=C(O)C(=C1)[N+]([O-])=O)\\C#N,305.29,C14H15N3O5,NCGC00164555-10,NCATS,3,"NCGC00164555-10,NCGC00164555-03,NCGC00164555-03",14
446,CCN(CC)C(=O)C(=C\\C1=CC(O)=C(O)C(=C1)[N+]([O-])=O)\\C#N,305.29,C14H15N3O5,NCGC00164555-10,NCATS,3,"NCGC00164555-10,NCGC00164555-03,NCGC00164555-03",14
21,CCCCCCCCCCCCCCCC[N+]1=C(C)N(CC2=CC=CC=C2)C=C1,397.67,C27H45N2,NCGC00165841-02,NCATS,1,NCGC00165841-02,15
460,CCCCCCCCCCCCCCCC[N+]1=C(C)N(CC2=CC=CC=C2)C=C1,397.67,C27H45N2,NCGC00165841-02,NCATS,1,NCGC00165841-02,15
25,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(C)=C(O)C(=O)C=C5[C@]4(C)CC[C@@]3(C)[C@@H]2C1,464.65,C30H40O4,NCGC00178090-03,NCATS,1,NCGC00178090-03,16
2719,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(C)=C(O)C(=O)C=C5[C@]4(C)CC[C@@]3(C)[C@@H]2C1,464.65,C30H40O4,NCGC00178090-03,NCATS,1,NCGC00178090-03,16
2788,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@](C)(CC[C@]3(C)CC[C@]12C)C(O)=O,450.62,C29H38O4,NCGC00178913-11,NCATS,2,"NCGC00178913-14,NCGC00178913-14",17
26,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@](C)(CC[C@]3(C)CC[C@]12C)C(O)=O,450.62,C29H38O4,NCGC00178913-14,NCATS,2,"NCGC00178913-14,NCGC00178913-11",17
